ID	mean	median	mode	cov1	cov5	cov10
a2472c63-f626-48fc-9bca-69b37cf6c192	152.4	163.0	0	97.4	96.3	96.0
85d4b6b1-6c09-4626-8d02-1d1cef241af2	86.3	87.0	88	98.8	97.7	97.3
46dc45e7-04b0-4b3b-80c3-6f253522a0e0	86.0	87.0	88	99.0	97.9	97.3
9489ebdc-80a4-4d96-b25d-cecd975cfd5c	192.1	200.0	201	98.9	97.9	97.7
9304fe4a-64ca-4a20-8c10-6e4a395c4244	92.0	94.0	97	99.0	98.1	97.7
e6570a8f-7dc6-4b6c-8525-4e5592992be0	50.2	51.0	51	99.2	98.2	97.4
3c5a08cf-138a-4a43-9faf-9352204e2ca7	78.9	79.0	79	99.1	98.3	97.8
4a751163-c589-4d54-8df7-3459d2bb0d5d	37.5	38.0	38	99.2	98.3	97.1
1a57ccf4-d764-4e70-81c0-6fabf6e872c4	99.6	100.0	99	99.3	98.6	98.2
2cebe4a6-8ca3-446d-b2bd-94d4b090e1b3	128.8	132.0	132	99.3	98.6	98.2
ea4faddb-5496-48fa-8883-4faa3c60277c	307.4	319.0	323	99.3	98.6	98.4
b6cdd2ae-32c1-4e41-8bef-d5c16f5825ff	85.7	87.0	88	99.6	98.8	98.3
04a3248b-8fa6-42f0-b1ab-4d4da08a3c7a	235.0	240.0	235	99.6	98.9	98.6
21f1c0f0-729b-49be-a785-d975a17282ae	231.5	238.0	239	99.5	98.9	98.6
a553cc1f-6043-4532-9737-957e585766bd	148.1	149.0	151	99.6	98.9	98.5
698fcc4d-24c9-428a-86ec-36ca3ec87a4a	217.6	221.0	220	99.6	99.0	98.7
96b0103c-40bb-4cc8-9139-465715c457a3	144.9	148.0	149	99.5	99.0	98.7
9b8f737b-4c29-4888-a297-08c655831663	70.6	72.0	72	99.5	99.0	98.5
d296b714-90b3-4f60-80b2-ad2a6899635e	49.4	49.0	48	99.6	99.0	98.3
9d995a98-e194-499d-afa8-aa3d4689126d	50.6	48.0	44	99.7	99.1	98.5
f269bf4e-6435-48bd-87e5-8ee50ec897a3	104.4	103.0	102	99.4	99.1	98.7
4207f3b3-4d56-439c-98df-46c0de70c332	110.7	112.0	113	99.7	99.2	98.9
546c86a7-de60-44c9-a67e-79d4dac4ae86	67.5	67.0	67	99.7	99.2	98.7
5bf3f269-6ca1-405d-9cc5-8ce2ccb25cb2	88.9	88.0	89	99.5	99.2	99.1
5ee31bcd-8d06-4366-8e95-977b3b618956	101.7	103.0	103	99.4	99.3	99.1
99b8c72f-8c81-483a-a9f5-9420e6503a0a	282.0	290.0	292	99.7	99.3	99.1
295f4ca8-ad52-47e6-9724-fec072950701	109.9	110.0	109	99.7	99.4	99.1
3c06edcd-2673-4892-aa31-9ddad2aed469	120.6	119.0	114	99.7	99.4	99.4
47036313-5389-4879-81ef-ea064234fffb	78.1	60.0	55	99.8	99.4	98.8
484bb501-bab0-47fc-b13e-fc852b0bfca1	59.5	56.0	52	99.6	99.4	99.0
9c8411bd-6d1f-4fd6-b6e9-ada311ea2362	148.4	151.0	153	99.8	99.4	99.1
00449131-1ccd-4684-8e78-fe8cc66d3eab	64.1	64.0	65	99.7	99.5	99.3
0193b459-f085-41e8-a209-2207b7740e35	51.2	50.0	49	99.7	99.5	99.1
0cad3bfa-5a09-4a97-93ef-dca9755b1b09	116.5	117.0	114	99.7	99.5	99.2
5b53b622-2794-48aa-9573-44b1d21087cc	57.7	55.0	50	99.8	99.5	99.2
93df0960-bb25-4291-a58f-914f9f59e489	144.1	145.0	148	99.8	99.5	99.2
9d7f31ef-cc2b-4f04-ac05-17c1375d29b1	116.6	118.0	119	99.6	99.5	99.3
e0ec681e-ea2b-4605-9bfa-d03b3b61c9a4	136.9	138.0	137	99.8	99.5	99.2
fdc88622-6d99-447d-8428-cfbd0fa32ee4	90.9	78.0	75	99.8	99.5	99.0
227c0897-fcb0-4fdd-8668-1a1025d7e982	162.4	158.0	154	99.9	99.6	99.3
6407bb43-05a3-4175-ad19-549ea94565c7	68.3	68.0	68	99.8	99.6	99.5
65682cd3-9b12-418a-8863-25495f8eb32e	158.7	162.0	169	99.8	99.6	99.3
87241fff-ff0a-4851-a0c5-663bd4fea9c6	69.6	68.0	67	99.7	99.6	99.4
9afb8011-7c8b-4c53-9afc-f0eaf13f8543	249.4	255.0	257	99.8	99.6	99.5
c2dd6f42-dd6a-4057-acbb-3093081827a5	78.5	78.0	80	99.7	99.6	99.5
c4e3dc55-ad84-47f9-9cf6-7920762447f7	76.5	77.0	76	99.8	99.6	99.5
cfc04a4d-8093-4a64-8622-20b644fd7515	150.3	111.0	100	99.8	99.6	99.3
fe1fa2c1-38f3-42d1-ae16-8e800de67f44	79.5	80.0	79	99.7	99.6	99.4
2d1a7639-241b-4e1a-9aba-3214eef6999d	99.8	100.0	99	99.8	99.7	99.7
48c80497-2c67-41a5-a864-c54580025613	84.6	85.0	85	99.7	99.7	99.7
68a60685-b9f8-4838-85eb-365bfed46f14	96.8	97.0	97	99.8	99.7	99.6
7e8b81aa-403f-4342-b5f5-617e017dcd38	73.5	72.0	71	99.8	99.7	99.7
896f7296-8d7d-4473-b11e-464a0a7b6b7e	118.7	119.0	119	99.8	99.7	99.7
9bbf309f-ef38-4df7-9cce-47e1fceef4be	79.9	80.0	80	99.8	99.7	99.6
a18f0544-9c63-49db-915d-82b1e0138988	93.8	94.0	93	99.8	99.7	99.7
e6d74a7d-d334-4875-8ea2-8b542293a67e	222.3	182.0	170	99.9	99.7	99.6
fc3e4edc-a8f2-4c08-a80f-0edc98d88a92	114.3	114.0	114	99.8	99.7	99.7
ffe4aa58-6637-438a-8d8a-6cf854fc2fb1	97.2	97.0	95	99.8	99.7	99.7
4bda478c-c242-414d-8e8c-20d154e5c17d	47.8	48.0	48	99.9	99.8	99.7
7d0c46bc-5673-4d16-b3d0-98f9030c5b11	104.3	103.0	101	99.9	99.8	99.7
d8eaaf36-64d7-421d-9fbf-c14761a6df43	171.5	172.0	173	99.9	99.8	99.8
ea9943e7-da56-45ed-9021-edaf97d0c4a7	54.8	55.0	55	99.8	99.8	99.6
f88a20e4-bd7c-4e26-947c-b573e778e719	375.8	376.0	376	99.9	99.8	99.8
98c1ead3-e085-4bdb-8433-b17fb5dc3894	99.6	100.0	100	100.0	99.9	99.7
